Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
324.94759	3.816	3.34355	0.06992	95.49658	0.22325
325.11799	3.814	3.34204	0.07119	95.49499	0.2272
325.28856	3.812	3.34055	0.07252	95.49326	0.23134
325.45932	3.81	3.33907	0.07392	95.49168	0.2357
325.63025	3.808	3.33761	0.0754	95.49003	0.24031
325.80137	3.806	3.33617	0.07697	95.48842	0.2452
325.97266	3.804	3.33475	0.07863	95.48688	0.25037
326.14413	3.802	3.33334	0.08036	95.48517	0.25576
326.31579	3.8	3.33193	0.08213	95.48374	0.2613
326.48763	3.798	3.33052	0.08395	95.48212	0.26697
326.65964	3.796	3.32911	0.08579	95.48054	0.27269
326.83184	3.794	3.32768	0.08761	95.47899	0.27837
327.00422	3.792	3.32624	0.08943	95.47727	0.28401
327.17678	3.79	3.32478	0.09123	95.47575	0.2896
327.34952	3.788	3.32331	0.09301	95.47398	0.29512
327.52245	3.786	3.32182	0.09477	95.47243	0.30057
327.69556	3.784	3.32031	0.0965	95.47064	0.3059
327.86885	3.782	3.31878	0.09818	95.46903	0.31106
328.04233	3.78	3.31724	0.09981	95.46716	0.31609
328.21599	3.778	3.31569	0.10145	95.46555	0.32112
328.38983	3.776	3.31414	0.10312	95.46369	0.32626
328.56386	3.774	3.31259	0.10484	95.46206	0.33153
328.73807	3.772	3.31105	0.10663	95.46024	0.33702
328.91247	3.77	3.30953	0.1085	95.4586	0.34277
329.08705	3.768	3.30802	0.11045	95.45682	0.34878
329.26182	3.766	3.30652	0.11249	95.4552	0.35503
329.43677	3.764	3.30503	0.1146	95.45342	0.36153
329.61191	3.762	3.30354	0.11677	95.45183	0.36821
329.78723	3.76	3.30205	0.11896	95.45003	0.37493
329.96275	3.758	3.30055	0.12116	95.44845	0.38168
330.13845	3.756	3.29904	0.12333	95.4466	0.38835
330.31433	3.754	3.2975	0.12545	95.44499	0.39482
330.49041	3.752	3.29595	0.12749	95.44313	0.40107
330.66667	3.75	3.29438	0.12949	95.44142	0.40714
330.84312	3.748	3.29279	0.13144	95.43958	0.41307
331.01975	3.746	3.29119	0.13336	95.43775	0.41888
331.19658	3.744	3.28959	0.13528	95.43597	0.42469
331.3736	3.742	3.28799	0.13722	95.434	0.43058
331.5508	3.74	3.28638	0.1392	95.43231	0.43656
331.7282	3.738	3.28478	0.1412	95.43042	0.44263
331.90578	3.736	3.28318	0.14324	95.42861	0.4488
332.08356	3.734	3.28158	0.14531	95.4268	0.45505
